physician_id,first_name,last_name,specialty,state,years_practice,med_school_tier
NPI1169664211,John,Kim,General Surgery,WA,8,Other
NPI5095195844,Sarah,Murphy,Oncology,IN,15,Top 50
NPI6562664543,Karen,Jones,Dermatology,WA,28,Top 20
NPI5143560283,Priya,Davis,Orthopedic Surgery,VA,3,Other
NPI2175807304,Karen,Johnson,Internal Medicine,MI,36,Top 50
NPI4577266752,Jennifer,Moore,Emergency Medicine,PA,7,Top 50
NPI4704901255,Susan,Moore,General Surgery,IL,31,Top 50
NPI2689443301,Jessica,Smith,General Surgery,MA,25,Other
NPI7806764029,Michelle,White,Internal Medicine,TX,34,Other
NPI3892606120,Sarah,Smith,Oncology,TX,31,Other
NPI6300885614,Lisa,Chen,Family Medicine,GA,21,Other
NPI5641571628,Ahmed,Kim,Pulmonology,TN,30,Top 20
NPI8896843712,David,Wang,Neurology,AZ,14,Other
NPI2098134386,Kevin,Brown,Dermatology,VA,23,Top 20
NPI2028367074,Wei,Murphy,Oncology,NJ,36,Top 50
NPI3702877021,Elena,Martin,Internal Medicine,FL,4,Top 20
NPI4880934712,Ahmed,Singh,Rheumatology,OH,14,Other
NPI3686880238,Charles,Patel,Cardiology,TX,1,Other
NPI7868683740,James,White,Dermatology,TN,21,Other
NPI3207392587,Karen,Smith,Neurology,TN,31,Top 50
NPI1762972684,Patricia,Patel,General Surgery,IL,2,Top 50
NPI4724198288,Charles,Hernandez,Family Medicine,IL,22,Other
NPI7960413592,Priya,Singh,Emergency Medicine,OH,17,Top 50
NPI8655057491,Thomas,Patel,Gastroenterology,MO,31,Top 20
NPI7600103634,Barbara,Williams,General Surgery,MI,9,Other
NPI6020980105,Mary,Murphy,Internal Medicine,TN,7,Other
NPI7517725315,Wei,Johnson,Oncology,NC,4,Other
NPI7132505817,Wei,Wilson,Cardiology,AZ,16,Other
NPI3109299692,Joseph,Miller,Internal Medicine,NJ,20,Top 50
NPI5956830029,Priya,Clark,Orthopedic Surgery,IL,36,Other
NPI7935483992,Fatima,Jones,Orthopedic Surgery,MO,19,Top 50
NPI3854085956,Sarah,Singh,Emergency Medicine,MA,7,Other
NPI6885758319,Mary,Miller,Family Medicine,TN,28,Other
NPI5333323847,Raj,White,Family Medicine,MD,3,Top 50
NPI5528429658,Joseph,Williams,Oncology,PA,14,Top 50
NPI1810495339,Wei,Taylor,Internal Medicine,TX,26,Other
NPI6995954487,Anita,Thompson,Internal Medicine,VA,10,Other
NPI8791183317,David,Kim,Oncology,OH,24,Other
NPI2272881592,Charles,Murphy,Internal Medicine,NC,18,Other
NPI4294950959,James,Wang,Neurology,PA,38,Other
NPI1438007093,Raj,Jackson,Oncology,GA,12,Top 20
NPI1266686973,Mary,Martinez,Dermatology,GA,36,Other
NPI9906926469,Thomas,Davis,Orthopedic Surgery,GA,25,Other
NPI5441243574,David,Clark,Family Medicine,MA,30,Top 20
NPI4199671167,Mary,Thompson,Dermatology,VA,7,Top 50
NPI3473893689,Jessica,O'Brien,General Surgery,MI,1,Other
NPI9820113803,Kevin,Hernandez,Family Medicine,FL,29,Other
NPI3270257069,Jennifer,Moore,Family Medicine,VA,19,Top 50
NPI7531375560,William,Wang,Orthopedic Surgery,NY,13,Other
NPI3553822861,Jennifer,Kim,Internal Medicine,OH,35,Other
NPI1634405548,Patricia,Miller,Internal Medicine,NC,13,Other
NPI7149489529,Michael,Jackson,Cardiology,FL,17,Top 50
NPI1014677628,Karen,Miller,General Surgery,GA,29,Top 20
NPI7081736603,Fatima,Nguyen,Neurology,IL,38,Other
NPI3253389390,Wei,Smith,Orthopedic Surgery,IN,36,Other
NPI7714938087,Fatima,Wang,General Surgery,MO,26,Other
NPI7927751505,Priya,O'Brien,Oncology,CA,5,Top 50
NPI7516965148,Susan,Smith,Psychiatry,WA,5,Other
NPI1220350973,Anita,Thompson,Internal Medicine,WA,28,Top 50
NPI7333629576,Jennifer,Williams,Internal Medicine,GA,20,Other
NPI9911310525,Wei,Anderson,Neurology,MI,6,Top 20
NPI3183628316,Patricia,Anderson,Oncology,TN,28,Other
NPI3468147149,Ahmed,Jackson,Psychiatry,GA,37,Other
NPI8321738945,John,O'Brien,General Surgery,TX,3,Other
NPI2443571245,Michael,Hernandez,Neurology,GA,33,Top 50
NPI6945253078,Susan,Taylor,Rheumatology,IL,14,Other
NPI7795237396,Wei,Williams,Rheumatology,GA,16,Top 50
NPI1334445956,Mary,Murphy,Family Medicine,PA,28,Other
NPI5983858847,Linda,Martinez,Cardiology,FL,10,Top 20
NPI6182895326,David,Hernandez,Oncology,WI,7,Other
NPI3730986076,Priya,Williams,Internal Medicine,FL,38,Other
NPI8887102023,Kevin,Wilson,Family Medicine,MA,14,Top 50
NPI2464747473,Charles,Martin,Dermatology,MA,7,Top 50
NPI4277752385,Sarah,O'Brien,Internal Medicine,WA,27,Top 20
NPI8638018183,David,Martinez,Cardiology,MD,9,Other
NPI2715784809,Carlos,Martin,Family Medicine,CA,31,Other
NPI8392367226,Patricia,Murphy,Family Medicine,OH,3,Other
NPI1711622596,Patricia,Anderson,Neurology,NY,21,Other
NPI5403061604,Michael,Wilson,Rheumatology,VA,16,Top 50
NPI1677975961,William,Johnson,General Surgery,WA,38,Top 50
NPI7101132264,Jessica,O'Brien,Neurology,MO,21,Other
NPI8115413400,Kevin,Brown,Family Medicine,GA,37,Other
NPI8648726933,Lisa,Miller,General Surgery,PA,10,Top 50
NPI9831360255,Susan,Jones,Internal Medicine,MD,19,Other
NPI7048141500,Michael,Kim,Cardiology,AZ,32,Other
NPI7921557223,Lisa,Anderson,Internal Medicine,TN,7,Other
NPI5551824504,Linda,Kim,Orthopedic Surgery,NC,37,Other
NPI9214632109,Michelle,Thompson,Oncology,NC,31,Top 50
NPI6793825439,Joseph,Smith,Internal Medicine,GA,27,Top 20
NPI8951962655,Thomas,Martinez,Endocrinology,MA,10,Other
NPI3119068152,Anita,Smith,Internal Medicine,PA,32,Other
NPI5470640025,Barbara,Johnson,Orthopedic Surgery,WI,33,Top 50
NPI7568370288,Joseph,Moore,Oncology,NY,12,Top 50
NPI2824495790,Sarah,Davis,Family Medicine,MI,23,Top 50
NPI2902058139,William,Williams,Family Medicine,OH,3,Other
NPI9802384662,Mary,Thomas,Neurology,WA,16,Top 50
NPI4911493246,William,Hernandez,Family Medicine,AZ,6,Top 50
NPI2636339076,Patricia,Clark,Internal Medicine,MD,22,Top 20
NPI3983174937,Wei,White,Internal Medicine,TN,22,Other
NPI4576385333,James,Taylor,Emergency Medicine,PA,21,Other
NPI6607767316,Barbara,Moore,Gastroenterology,PA,27,Top 50
NPI9307131930,Raj,Williams,Orthopedic Surgery,MO,37,Other
NPI9879310682,Karen,Taylor,Family Medicine,MI,8,Other
NPI6865288829,Wei,Lee,Emergency Medicine,TX,9,Other
NPI7299301246,Wei,Smith,General Surgery,IN,9,Other
NPI3896462526,William,O'Brien,Orthopedic Surgery,WA,37,Other
NPI8714427358,Charles,Jackson,Oncology,CA,4,Other
NPI2960185016,Michael,Chen,Family Medicine,TN,2,Top 20
NPI1957425843,Lisa,Wilson,Internal Medicine,WA,7,Top 50
NPI9759303909,Wei,Singh,Gastroenterology,WA,30,Top 20
NPI8777248090,Raj,Taylor,Oncology,MO,23,Other
NPI3732806210,Anita,O'Brien,Internal Medicine,MI,36,Other
NPI7076536446,James,Jackson,Family Medicine,MI,8,Other
NPI5203165216,William,White,Psychiatry,WA,16,Top 50
NPI3908153854,Thomas,Miller,Internal Medicine,NY,22,Other
NPI3580967896,Barbara,Clark,Dermatology,NY,3,Top 50
NPI2224247006,Charles,Garcia,General Surgery,IN,36,Top 50
NPI5943862739,Elena,Smith,Orthopedic Surgery,PA,32,Other
NPI5019370210,Linda,Hernandez,Oncology,NJ,6,Top 20
NPI5609677782,Raj,Singh,Neurology,IL,33,Top 50
NPI2938214507,Raj,O'Brien,Psychiatry,PA,18,Top 50
NPI9447496036,Anita,Singh,Neurology,VA,14,Other
NPI6747320766,John,Martin,Internal Medicine,IN,37,Top 50
NPI9096405915,William,O'Brien,Family Medicine,NC,21,Other
NPI1983440494,Patricia,Moore,Cardiology,FL,9,Other
NPI6605658692,Patricia,Moore,Endocrinology,PA,32,Other
NPI8645156366,Mary,Garcia,Family Medicine,NY,28,Top 50
NPI3978287017,Jessica,Chen,Internal Medicine,MO,8,Other
NPI2756288522,John,Martinez,Internal Medicine,OH,27,Top 20
